"name","first_release","versions","archived","index"
"survival","2001-06-22 15:07:00",90,TRUE,152
"adapt","2001-06-27 16:03:00",3,TRUE,153
"diamonds","2001-07-11 17:57:00",5,TRUE,154
"Rwave","2001-07-12 15:49:00",16,TRUE,155
"fields","2001-07-27 14:31:00",53,TRUE,156
"AnalyzeFMRI","2001-08-10 13:16:00",30,TRUE,157
"fastICA","2001-08-10 13:16:00",20,TRUE,158
"Rdbi","2001-09-04 21:28:00",1,TRUE,159
"Rdbi.PgSQL","2001-09-04 21:28:00",1,TRUE,160
"rpvm","2001-09-04 21:28:00",13,TRUE,161
"EMV","2001-09-06 09:12:00",6,TRUE,162
"vegan","2001-09-06 09:12:00",84,TRUE,163
"pixmap","2001-09-10 09:21:00",19,TRUE,164
"spweights","2001-09-11 16:23:00",6,TRUE,165
"sptests","2001-09-21 08:35:00",4,TRUE,166
"waveslim","2001-10-18 21:04:00",16,TRUE,167
"qtl","2001-10-30 11:12:00",64,TRUE,168
"moc","2001-11-01 23:59:00",11,TRUE,169
"ROracle","2001-11-03 07:52:00",26,TRUE,170
"RSQLite","2001-11-03 19:53:00",61,TRUE,171
"emplik","2001-11-26 06:56:00",31,TRUE,172
"g.data","2001-12-01 10:13:00",9,TRUE,173
"DBI","2001-12-19 16:39:00",31,TRUE,174
"DBI.RODBC","2001-12-19 16:39:00",1,TRUE,175
"DBI.RPgSQL","2001-12-19 16:39:00",1,TRUE,176
"Bhat","2002-01-09 11:48:00",8,TRUE,177
"pear","2002-01-13 12:34:00",6,TRUE,178
"dr","2002-01-18 16:13:00",16,TRUE,179
"spatstat","2002-01-21 07:56:00",200,TRUE,180
"agce","2002-01-26 20:22:00",3,TRUE,181
"colSums","2002-01-30 19:50:00",1,TRUE,182
"pastecs","2002-01-31 16:55:00",18,TRUE,183
"combinat","2002-02-01 19:46:00",6,TRUE,184
"evd","2002-02-01 19:46:00",27,TRUE,185
"lasso2","2002-02-08 20:28:00",23,TRUE,186
"RadioSonde","2002-02-08 20:30:00",11,TRUE,187
"spsarlm","2002-02-11 08:05:00",2,TRUE,188
"geoRglm","2002-02-13 07:46:00",46,TRUE,189
"aws","2002-02-15 06:41:00",22,TRUE,190
"ifs","2002-02-19 07:59:00",11,TRUE,191
"CircStats","2002-02-21 15:03:00",13,TRUE,192
"deldir","2002-02-24 17:09:00",41,TRUE,193
"RQuantLib","2002-02-27 10:49:00",52,TRUE,194
"dblcens","2002-03-08 16:35:00",8,TRUE,195
"VLMC","2002-03-12 16:58:00",18,TRUE,196
"subselect","2002-03-12 16:58:00",30,TRUE,197
"gllm","2002-03-18 14:11:00",11,TRUE,198
"npmc","2002-03-20 07:22:00",7,TRUE,199
"spdep","2002-03-20 07:22:00",129,TRUE,200
"ipred","2002-03-29 08:32:00",49,TRUE,201
"randomForest","2002-04-01 16:34:00",57,TRUE,202
"rsprng","2002-04-26 07:16:00",9,TRUE,203
"Rmpi","2002-04-27 20:21:00",26,TRUE,204
"cobs","2002-04-28 07:58:00",14,TRUE,205
"tkrplot","2002-04-30 05:26:00",19,TRUE,206
"serialize","2002-05-02 18:42:00",2,TRUE,207
"brlr","2002-05-14 15:30:00",16,TRUE,208
"dichromat","2002-05-24 16:14:00",7,TRUE,209
"systemfit","2002-06-06 18:28:00",35,TRUE,210
"gtkDevice","2002-06-11 13:54:00",6,TRUE,211
"knnTree","2002-06-12 06:07:00",7,TRUE,212
"qvcalc","2002-06-13 16:43:00",24,TRUE,213
"relimp","2002-06-13 16:43:00",24,TRUE,214
"multcomp","2002-06-20 15:24:00",97,TRUE,215
"normix","2002-07-02 11:59:00",1,TRUE,216
"ISwR","2002-07-30 14:01:00",18,TRUE,217
"ape","2002-08-31 08:58:00",96,TRUE,218
"sound","2002-08-31 08:58:00",8,TRUE,219
"runStat","2002-09-11 12:35:00",2,TRUE,220
"Dopt","2002-09-17 17:06:00",1,TRUE,221
"KMsurv","2002-09-19 19:53:00",5,TRUE,222
"deal","2002-09-19 19:53:00",24,TRUE,223
"geepack","2002-09-19 19:53:00",36,TRUE,224
"haplo.score","2002-09-19 19:53:00",1,TRUE,225
"ptproc","2002-10-09 22:01:00",1,TRUE,226
"rgenoud","2002-10-18 14:41:00",39,TRUE,227
"SparseM","2002-10-20 16:45:00",63,TRUE,228
"mclust1998","2002-10-23 06:57:00",3,TRUE,229
"survrec","2002-10-28 13:35:00",11,TRUE,230
"CGIwithR","2002-10-28 21:34:00",15,TRUE,231
"RColorBrewer","2002-10-31 09:27:00",12,TRUE,232
"MPV","2002-11-08 15:55:00",11,TRUE,233
"msm","2002-11-08 15:58:00",54,TRUE,234
"genetics","2002-11-13 20:28:00",25,TRUE,235
"amap","2002-11-30 08:55:00",31,TRUE,236
"polspline","2002-12-03 20:22:00",35,TRUE,237
"ade4","2002-12-10 18:50:00",42,TRUE,238
"grasper","2002-12-10 18:50:00",5,TRUE,239
"mimR","2002-12-16 07:09:00",34,TRUE,240
"vcd","2002-12-16 07:23:00",51,TRUE,241
"RSvgDevice","2002-12-17 14:41:00",13,TRUE,242
"gpclib","2003-01-08 08:38:00",18,TRUE,243
"SenSrivastava","2003-01-13 11:06:00",14,TRUE,244
"glmmML","2003-01-16 17:14:00",30,TRUE,245
"survey","2003-01-23 18:05:00",106,TRUE,246
"clim.pact","2003-02-03 15:32:00",44,TRUE,247
"gstat","2003-02-04 15:24:00",118,TRUE,248
"dispmod","2003-02-07 12:58:00",4,TRUE,249
"statmod","2003-02-17 21:15:00",54,TRUE,250
"MCMCpack","2003-02-21 17:07:00",70,TRUE,251
"gbm","2003-02-21 17:07:00",30,TRUE,252
"Davies","2003-02-27 18:16:00",12,TRUE,253
"hier.part","2003-02-27 18:16:00",10,TRUE,254
"snow","2003-03-10 15:27:00",20,TRUE,255
"hwde","2003-03-14 09:15:00",10,TRUE,256
"session","2003-03-17 10:33:00",4,TRUE,257
"pls.pcr","2003-03-31 12:44:00",13,TRUE,258
"mix","2003-04-10 16:10:00",9,TRUE,259
"anm","2003-04-11 08:24:00",8,TRUE,260
"normalp","2003-04-14 13:15:00",11,TRUE,261
"rimage","2003-04-16 08:10:00",10,TRUE,262
"abind","2003-04-25 16:38:00",7,TRUE,263
"ismev","2003-04-25 16:38:00",15,TRUE,264
"effects","2003-04-27 18:28:00",54,TRUE,265
"homals","2003-05-12 10:36:00",16,TRUE,266
"lars","2003-05-17 09:18:00",7,TRUE,267
"sampfling","2003-05-21 05:42:00",4,TRUE,268
"pamr","2003-05-21 15:23:00",25,TRUE,269
"ncomplete","2003-05-25 18:21:00",2,TRUE,270
"noverlap","2003-05-25 18:21:00",2,TRUE,271
"vardiag","2003-05-25 18:21:00",6,TRUE,272
"Rcmdr","2003-05-26 14:51:00",121,TRUE,273
"eha","2003-06-11 19:18:00",67,TRUE,274
"emme2","2003-06-13 23:00:00",9,TRUE,275
"shapefiles","2003-06-13 23:00:00",7,TRUE,276
"negenes","2003-06-20 22:21:00",13,TRUE,277
"lme4","2003-06-25 05:29:00",116,TRUE,278
"prabclus","2003-06-28 18:45:00",19,TRUE,279
"fpc","2003-06-28 19:10:00",33,TRUE,280
"nlmeODE","2003-07-04 07:20:00",15,TRUE,281
"forward","2003-07-04 11:33:00",6,TRUE,282
"seao","2003-07-07 17:12:00",3,TRUE,283
"seao.gui","2003-07-07 17:12:00",3,TRUE,284
"orientlib","2003-07-08 21:13:00",14,TRUE,285
"flexmix","2003-07-09 10:36:00",38,TRUE,286
"diptest","2003-07-15 18:32:00",11,TRUE,287
"boolean","2003-07-16 05:47:00",13,TRUE,288
"Hmisc","2003-07-17 09:04:00",68,TRUE,289
"tapiR","2003-07-17 09:04:00",11,TRUE,290
"sca","2003-07-18 07:30:00",8,TRUE,291
"its","2003-07-21 21:37:00",17,TRUE,292
"HyperbolicDist","2003-07-23 08:11:00",5,TRUE,293
"pps","2003-07-24 08:09:00",3,TRUE,294
"classPP","2003-07-24 08:10:00",3,TRUE,295
"Devore6","2003-07-26 17:12:00",5,TRUE,296
"DAAG","2003-07-29 11:28:00",40,TRUE,297
"exactLoglinTest","2003-07-29 14:50:00",9,TRUE,298
"Design","2003-07-29 17:45:00",11,TRUE,299
"rqmcmb2","2003-08-05 21:33:00",5,TRUE,300
"maptools","2003-08-11 22:27:00",109,TRUE,301
"psy","2003-08-22 13:50:00",6,TRUE,302
"nprq","2003-08-29 07:51:00",7,TRUE,303
"ggm","2003-09-12 20:24:00",21,TRUE,304
"shapes","2003-09-16 14:52:00",28,TRUE,305
"ftnonpar","2003-09-16 16:46:00",14,TRUE,306
"seacarb","2003-09-18 08:36:00",63,TRUE,307
"bim","2003-09-19 05:55:00",6,TRUE,308
"lpSolve","2003-09-26 20:04:00",34,TRUE,309
"som","2003-09-29 12:33:00",8,TRUE,310
"clines","2003-09-30 07:47:00",4,TRUE,311
"linprog","2003-10-01 08:22:00",8,TRUE,312
"mvnormtest","2003-10-01 21:03:00",5,TRUE,313
"cat","2003-10-02 12:00:00",8,TRUE,314
"lmeSplines","2003-10-03 07:42:00",5,TRUE,315
"udunits","2003-10-06 21:27:00",4,TRUE,316
"mapdata","2003-10-07 17:23:00",32,TRUE,317
"maps","2003-10-07 17:23:00",64,TRUE,318
"segmented","2003-10-07 17:23:00",43,TRUE,319
"gridBase","2003-10-08 15:16:00",12,TRUE,320
"simpleboot","2003-10-09 07:50:00",8,TRUE,321
"mmlcr","2003-10-15 17:41:00",4,TRUE,322
"logistf","2003-10-23 07:48:00",12,TRUE,323
"smoothSurv","2003-10-23 16:34:00",30,TRUE,324
"HI","2003-10-27 22:40:00",5,TRUE,325
"mapproj","2003-10-27 22:41:00",19,TRUE,326
"ncdf","2003-10-27 22:41:00",15,TRUE,327
"CDNmoney","2003-10-31 12:05:00",9,TRUE,328
"asypow","2003-11-12 08:01:00",8,TRUE,329
"lmm","2003-11-15 21:29:00",14,TRUE,330
